"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"Mar23.csv",16,8,"Covertype","ctgan","test_f1_macro_end",0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026
"Mar23.csv",26,8,"Covertype","tvae","test_f1_macro_end",0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814
"Mar23.csv",16,17,"Covertype","ctgan","test_f1_macro_max",0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426
"Mar23.csv",26,17,"Covertype","tvae","test_f1_macro_max",0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314
"Mar23.csv",16,27,"MNIST12","ctgan","test_f1_micro_end",0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386
"Mar23.csv",26,27,"MNIST12","tvae","test_f1_micro_end",0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289
"Mar23.csv",16,28,"MNIST28","ctgan","test_f1_micro_end",0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367
"Mar23.csv",26,28,"MNIST28","tvae","test_f1_micro_end",0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351
"Mar23.csv",16,36,"MNIST12","ctgan","test_f1_micro_max",0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604
"Mar23.csv",26,36,"MNIST12","tvae","test_f1_micro_max",0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322
"Mar23.csv",16,37,"MNIST28","ctgan","test_f1_micro_max",0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631
"Mar23.csv",26,37,"MNIST28","tvae","test_f1_micro_max",0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421
"April02.csv",16,10,"Covertype","ctgan","test_f1_macro_end",0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026
"April02.csv",26,10,"Covertype","tvae","test_f1_macro_end",0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814
"April02.csv",16,21,"Covertype","ctgan","test_f1_macro_max",0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426
"April02.csv",26,21,"Covertype","tvae","test_f1_macro_max",0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314
"April02.csv",16,33,"MNIST12","ctgan","test_f1_micro_end",0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386
"April02.csv",26,33,"MNIST12","tvae","test_f1_micro_end",0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289
"April02.csv",16,34,"MNIST28","ctgan","test_f1_micro_end",0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367
