path,blob,dataset,train,method,metric,report_value,aggregate_value,difference
src/modeling_thuy/output/Old_data_mnist12/DNN_MNIST12_train_synthetic_augment_tvae_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ca93eb54835e035685f230c71a736e349db63e14,MNIST12,synthetic,tvae,test_f1_macro_end,0.9214455444984854,0.9216899968362328,-0.0002444523377473917
src/modeling_thuy/output/Old_data_mnist12/DNN_MNIST12_train_synthetic_augment_tvae_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ca93eb54835e035685f230c71a736e349db63e14,MNIST12,synthetic,tvae,test_f1_micro_end,0.9220714285714285,0.9219,0.0001714285714284891
src/modeling_thuy/output/Old_data_mnist12/DNN_MNIST12_train_synthetic_augment_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,aa72e755891a0f70d71d52040b96854af8d1c10a,MNIST12,synthetic,xgb,test_f1_macro_end,0.9090385961957695,0.8787915436373581,0.030247052558411425
src/modeling_thuy/output/Old_data_mnist12/DNN_MNIST12_train_synthetic_augment_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,aa72e755891a0f70d71d52040b96854af8d1c10a,MNIST12,synthetic,xgb,test_f1_micro_end,0.9097142857142857,0.8783,0.03141428571428573
src/modeling_thuy/output/Old_data_mnist28/DNN_MNIST28_train_synthetic_augment_tvae_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,5d43a57a06ed1afcb311e7a60285e81f787bd3d2,MNIST28,synthetic,tvae,test_f1_macro_end,0.01795721994668747,0.9289449422883832,-0.9109877223416958
src/modeling_thuy/output/Old_data_mnist28/DNN_MNIST28_train_synthetic_augment_tvae_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,5d43a57a06ed1afcb311e7a60285e81f787bd3d2,MNIST28,synthetic,tvae,test_f1_micro_end,0.09864285714285714,0.9291,-0.8304571428571429
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,b5207a2ddc55f8b4ebd36ca353f89791a424ce39,Adult_mix,mix,pca_gmm,test_f1_macro_end,0.7506716786591,0.750671679,-3.408999749154873e-10
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,b5207a2ddc55f8b4ebd36ca353f89791a424ce39,Adult_mix,mix,pca_gmm,test_f1_micro_end,0.8282595003149276,0.8282595003149276,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,b5207a2ddc55f8b4ebd36ca353f89791a424ce39,Adult_mix,mix,pca_gmm,test_f1_binary_end,0.6115859449192782,0.6115859449192782,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_rf_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,74ee033e42eb1f3dd7acd551c55f1fb91f4ab0f6,Adult_mix,mix,rf,test_f1_macro_end,0.7746396429611135,0.7746396429611135,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_rf_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,74ee033e42eb1f3dd7acd551c55f1fb91f4ab0f6,Adult_mix,mix,rf,test_f1_micro_end,0.8436909510812514,0.8436909510812514,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_rf_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,74ee033e42eb1f3dd7acd551c55f1fb91f4ab0f6,Adult_mix,mix,rf,test_f1_binary_end,0.6498941923348225,0.6498941923348225,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_xgb_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,c6ce16a17a82e0095a347d2698a123c2a8cfb4e8,Adult_mix,mix,xgb,test_f1_macro_end,0.7732502421510552,0.7732502421510552,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_xgb_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,c6ce16a17a82e0095a347d2698a123c2a8cfb4e8,Adult_mix,mix,xgb,test_f1_micro_end,0.8445307579256771,0.8445307579256771,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_mix_train_mix_augment_xgb_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,c6ce16a17a82e0095a347d2698a123c2a8cfb4e8,Adult_mix,mix,xgb,test_f1_binary_end,0.6461170848267622,0.6461170848267622,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_original_test_original_lr0.001_B512_G500.weight.pth.report.txt,c4739f413c52a9911065afb005a7dfc841e305ce,Adult,original,none,test_f1_macro_end,0.7912847585843994,0.7912847585843994,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_original_test_original_lr0.001_B512_G500.weight.pth.report.txt,c4739f413c52a9911065afb005a7dfc841e305ce,Adult,original,none,test_f1_micro_end,0.8558681503254252,0.8558681503254252,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_categorical_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,cd53c132fa8ccdc3c91aeff7280ad9b3497a9615,Adult,synthetic,categorical,test_f1_macro_end,0.7187076670888153,0.7187076670888153,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_categorical_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,cd53c132fa8ccdc3c91aeff7280ad9b3497a9615,Adult,synthetic,categorical,test_f1_micro_end,0.7630694940163762,0.7630694940163762,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_categorical_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,cd53c132fa8ccdc3c91aeff7280ad9b3497a9615,Adult,synthetic,categorical,test_f1_binary_end,0.6069998258749782,0.6069998258749782,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_categorical_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,32bef3b9c59b0c3a08be13ff1291e7e459bf2c76,Adult,synthetic,compare_sdv_categorical,test_f1_macro_end,0.7170661259844104,0.7170661259844104,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_categorical_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,32bef3b9c59b0c3a08be13ff1291e7e459bf2c76,Adult,synthetic,compare_sdv_categorical,test_f1_micro_end,0.7608650010497585,0.7608650010497585,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_categorical_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,32bef3b9c59b0c3a08be13ff1291e7e459bf2c76,Adult,synthetic,compare_sdv_categorical,test_f1_binary_end,0.6057459328487366,0.6057459328487366,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_gaussian_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,504816b80ced1f6efc9339b04aed8c18dbb92952,Adult,synthetic,compare_sdv_gaussian,test_f1_macro_end,0.5979305848299343,0.5979305848299343,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_gaussian_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,504816b80ced1f6efc9339b04aed8c18dbb92952,Adult,synthetic,compare_sdv_gaussian,test_f1_micro_end,0.7855343271047659,0.7855343271047659,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_gaussian_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,504816b80ced1f6efc9339b04aed8c18dbb92952,Adult,synthetic,compare_sdv_gaussian,test_f1_binary_end,0.32328585624378936,0.3232858562437893,5.551115123125783e-17
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ef7878e9d7a9f88ac4cb9958cd1e7f4724501f33,Adult,synthetic,compare_sdv_pca_gmm,test_f1_macro_end,0.7172054947855945,0.7172054947855945,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ef7878e9d7a9f88ac4cb9958cd1e7f4724501f33,Adult,synthetic,compare_sdv_pca_gmm,test_f1_micro_end,0.74690321226118,0.746903212,2.611799665430681e-10
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ef7878e9d7a9f88ac4cb9958cd1e7f4724501f33,Adult,synthetic,compare_sdv_pca_gmm,test_f1_binary_end,0.6255629756173319,0.6255629756173319,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_rf_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,3d2f586fd066fb3a4a840b362666d4738d117f32,Adult,synthetic,compare_sdv_rf,test_f1_macro_end,0.7424405782154562,0.7424405782154562,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_rf_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,3d2f586fd066fb3a4a840b362666d4738d117f32,Adult,synthetic,compare_sdv_rf,test_f1_micro_end,0.8359227377703128,0.8359227377703128,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_rf_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,3d2f586fd066fb3a4a840b362666d4738d117f32,Adult,synthetic,compare_sdv_rf,test_f1_binary_end,0.5872722471613414,0.5872722471613414,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_categoricalNB_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,66a63d8cd9de12b6fca2467262e223dbead652d8,Adult,synthetic,compare_sdv_tvae_categoricalNB,test_f1_macro_end,0.7128734645945641,0.7128734645945641,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_categoricalNB_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,66a63d8cd9de12b6fca2467262e223dbead652d8,Adult,synthetic,compare_sdv_tvae_categoricalNB,test_f1_micro_end,0.7535166911610329,0.7535166911610329,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_gaussianNB_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,129cffb3c7eba4c5fc9bcbe07ffbb729ca2df7ea,Adult,synthetic,compare_sdv_tvae_gaussianNB,test_f1_macro_end,0.6002747859716371,0.6002747859716371,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_gaussianNB_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,129cffb3c7eba4c5fc9bcbe07ffbb729ca2df7ea,Adult,synthetic,compare_sdv_tvae_gaussianNB,test_f1_micro_end,0.7862691580936385,0.7862691580936385,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ef15eb2be5554892b7c6a518c084730a1de289df,Adult,synthetic,compare_sdv_tvae_pca_gmm,test_f1_macro_end,0.7052208652116598,0.7052208652116598,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_pca_gmm_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,ef15eb2be5554892b7c6a518c084730a1de289df,Adult,synthetic,compare_sdv_tvae_pca_gmm,test_f1_micro_end,0.730002099517111,0.7300021,-4.828889510477552e-10
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_rf_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,3018d1bf1375bd2b9a591449a837f886bcaa4f49,Adult,synthetic,compare_sdv_tvae_rf,test_f1_macro_end,0.745627614309625,0.745627614,3.0962499231179663e-10
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_rf_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,3018d1bf1375bd2b9a591449a837f886bcaa4f49,Adult,synthetic,compare_sdv_tvae_rf,test_f1_micro_end,0.8371824480369515,0.8371824480369515,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,85c582b76700d90f7169c9b186d7f388372a3625,Adult,synthetic,compare_sdv_tvae_xgb,test_f1_macro_end,0.7310692897125062,0.7310692897125062,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_tvae_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,85c582b76700d90f7169c9b186d7f388372a3625,Adult,synthetic,compare_sdv_tvae_xgb,test_f1_micro_end,0.8300440898593323,0.8300440898593323,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,4c874bd4edb77e7129a965e749fc7c2479e2af91,Adult,synthetic,compare_sdv_xgb,test_f1_macro_end,0.6884643658748745,0.6884643658748745,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,4c874bd4edb77e7129a965e749fc7c2479e2af91,Adult,synthetic,compare_sdv_xgb,test_f1_micro_end,0.8104136048708797,0.8104136048708797,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_compare_sdv_xgb_mix_ratio-1_n-1_test_original_lr0.001_B512_G500.weight.pth.report.txt,4c874bd4edb77e7129a965e749fc7c2479e2af91,Adult,synthetic,compare_sdv_xgb,test_f1_binary_end,0.49355019629837354,0.4935501962983735,5.551115123125783e-17
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_ctgan_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,5da1fcf2fdb693e609d0c0bca92e2e2badb92515,Adult,synthetic,ctgan,test_f1_macro_end,0.7690919815680533,0.7690919815680533,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_ctgan_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,5da1fcf2fdb693e609d0c0bca92e2e2badb92515,Adult,synthetic,ctgan,test_f1_micro_end,0.8189166491706907,0.8189166491706907,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_ctgan_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,5da1fcf2fdb693e609d0c0bca92e2e2badb92515,Adult,synthetic,ctgan,test_f1_binary_end,0.6618310135267594,0.6618310135267594,0.0
src/modeling_thuy/output/adult/acc/DNN_Adult_train_synthetic_augment_gaussian_mix_ratio-1_n-1_test_original_lr0.001_B64_G250.weight.pth.report.txt,f5bf3986664c1509f35ad6d728a77efba2503739,Adult,synthetic,gaussian,test_f1_macro_end,0.5681211657622532,0.5681211657622532,0.0
